,Level3Name,Level4Name,Classification,EmployeeLevelName,FiscalMonthNumber,Amount,Source
3125,CIO,,High Cost,Associate,7,2.476190476,Actuals
3126,FINANCE,Team1,Cost Effective,Associate,7,16,Actuals
3127,FINANCE,Team1,High Cost,Associate,7,0.559619048,Actuals
3128,FINANCE,Team1,Cost Effective,Associate,7,2.857142857,Actuals
3129,FINANCE,Team1,Cost Effective,Associate,7,0.19047619,Actuals
3130,FINANCE,Team2,Cost Effective,Associate,7,33.66666667,Actuals
3131,FINANCE,Team2,High Cost,Associate,7,1.447619048,Actuals
3132,FINANCE,Team2,Cost Effective,Associate,7,0.571428571,Actuals
3133,FINANCE,Team2,High Cost,Associate,7,0.19047619,Actuals
3137,Human Resources,Team2,Cost Effective,Associate,7,31.88095238,Actuals
3138,Human Resources,Team2,High Cost,Associate,7,9.338095238,Actuals
3140,Legal,Team2,Cost Effective,Associate,7,1.333333333,Actuals
3141,Legal,Team2,Cost Effective,Associate,7,11.80952381,Actuals
3142,Legal,Team2,High Cost,Associate,7,0.571428571,Actuals
3168,CIO,,High Cost,Senior Manager,7,3.39047619,Actuals
3170,FINANCE,Team1,Cost Effective,Senior Manager,7,0.571428571,Actuals
3171,FINANCE,Team1,High Cost,Senior Manager,7,1.142857143,Actuals
3172,FINANCE,Team1,Cost Effective,Senior Manager,7,1.142857143,Actuals
3173,FINANCE,Team1,High Cost,Senior Manager,7,2.095238095,Actuals
3174,FINANCE,Team1,High Cost,Senior Manager,7,0.571428571,Actuals
3175,FINANCE,Team2,Cost Effective,Senior Manager,7,0.571428571,Actuals
3176,FINANCE,Team2,High Cost,Senior Manager,7,2.285714286,Actuals
3177,FINANCE,Team2,Cost Effective,Senior Manager,7,0.571428571,Actuals
3178,FINANCE,Team2,High Cost,Senior Manager,7,1.333333333,Actuals
3179,FINANCE,Team2,High Cost,Senior Manager,7,3.428571429,Actuals
3190,Human Resources,Team1,Cost Effective,Senior Manager,7,0.380952381,Actuals
3191,Human Resources,Team1,High Cost,Senior Manager,7,6.067428571,Actuals
3192,Human Resources,Team1,Cost Effective,Senior Manager,7,0.380952381,Actuals
3193,Human Resources,Team1,High Cost,Senior Manager,7,5.276190476,Actuals
3194,Human Resources,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3195,Human Resources,Team2,Cost Effective,Senior Manager,7,3.785714286,Actuals
3196,Human Resources,Team2,High Cost,Senior Manager,7,5.142857143,Actuals
3197,Human Resources,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3199,Legal,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3200,Legal,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3201,Legal,Team2,High Cost,Senior Manager,7,1.333333333,Actuals
3202,Legal,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3203,Legal,Team2,High Cost,Senior Manager,7,0.380952381,Actuals
3204,Legal,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3205,Legal,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3206,Legal,Team2,High Cost,Senior Manager,7,0.761904762,Actuals
3207,Legal,Team2,High Cost,Senior Manager,7,0.761904762,Actuals
3208,Legal,Team2,High Cost,Senior Manager,7,0.342857143,Actuals
3209,Legal,Team2,Cost Effective,Senior Manager,7,0.380952381,Actuals
3210,Legal,Team2,High Cost,Senior Manager,7,4.761904762,Actuals
3228,CIO,,Cost Effective,Senior Manager,7,0.380952381,Actuals
3229,CIO,,High Cost,Senior Manager,7,22.04761905,Actuals
3233,FINANCE,Team1,Cost Effective,Senior Manager,7,4.761904762,Actuals
3234,FINANCE,Team1,High Cost,Senior Manager,7,11.54285714,Actuals
3235,FINANCE,Team1,Cost Effective,Senior Manager,7,4.952380952,Actuals
3236,FINANCE,Team1,High Cost,Senior Manager,7,10.59047619,Actuals
3237,FINANCE,Team1,Cost Effective,Senior Manager,7,0.952380952,Actuals
3238,FINANCE,Team1,High Cost,Senior Manager,7,3.428571429,Actuals
3239,FINANCE,Team2,Cost Effective,Senior Manager,7,2.476190476,Actuals
3240,FINANCE,Team2,High Cost,Senior Manager,7,12.0047619,Actuals
3241,FINANCE,Team2,Cost Effective,Senior Manager,7,3.238095238,Actuals
3242,FINANCE,Team2,High Cost,Senior Manager,7,6.647619048,Actuals
3243,FINANCE,Team2,Cost Effective,Senior Manager,7,1.523809524,Actuals
3244,FINANCE,Team2,High Cost,Senior Manager,7,10.78095238,Actuals
3254,Human Resources,Team1,Cost Effective,Senior Manager,7,1.333333333,Actuals
3255,Human Resources,Team1,High Cost,Senior Manager,7,13.43809524,Actuals
3256,Human Resources,Team1,Cost Effective,Senior Manager,7,2.476190476,Actuals
3257,Human Resources,Team1,High Cost,Senior Manager,7,22.26666667,Actuals
3258,Human Resources,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3259,Human Resources,Team2,High Cost,Senior Manager,7,0.361904762,Actuals
3260,Human Resources,Team2,Cost Effective,Senior Manager,7,16.02380952,Actuals
3261,Human Resources,Team2,High Cost,Senior Manager,7,24.57142857,Actuals
3262,Human Resources,Team2,High Cost,Senior Manager,7,0.571428571,Actuals
3265,Legal,Team2,Cost Effective,Senior Manager,7,3.428571429,Actuals
3266,Legal,Team2,High Cost,Senior Manager,7,11.82857143,Actuals
3267,Legal,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3268,Legal,Team2,High Cost,Senior Manager,7,2.666666667,Actuals
3269,Legal,Team2,High Cost,Senior Manager,7,0.723809524,Actuals
3270,Legal,Team2,Cost Effective,Senior Manager,7,2.285714286,Actuals
3271,Legal,Team2,High Cost,Senior Manager,7,0.19047619,Actuals
3272,Legal,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3273,Legal,Team2,High Cost,Senior Manager,7,1.333333333,Actuals
3274,Legal,Team2,Cost Effective,Senior Manager,7,0.19047619,Actuals
3275,Legal,Team2,High Cost,Senior Manager,7,1.142857143,Actuals
3276,Legal,Team2,Cost Effective,Senior Manager,7,0.571428571,Actuals
3277,Legal,Team2,High Cost,Senior Manager,7,2.666666667,Actuals
3278,Legal,Team2,Cost Effective,Senior Manager,7,2.476190476,Actuals
3279,Legal,Team2,High Cost,Senior Manager,7,41.92380952,Actuals
3380,CIO,,High Cost,Consultant,7,19.33771429,Actuals
3382,FINANCE,Team1,Cost Effective,Consultant,7,44.24761905,Actuals
3383,FINANCE,Team1,High Cost,Consultant,7,15.97219048,Actuals
3384,FINANCE,Team1,Cost Effective,Consultant,7,26.28571429,Actuals
3385,FINANCE,Team1,High Cost,Consultant,7,9.285714286,Actuals
3386,FINANCE,Team1,Cost Effective,Consultant,7,2.666666667,Actuals
3387,FINANCE,Team1,High Cost,Consultant,7,2.476190476,Actuals
3388,FINANCE,Team2,Cost Effective,Consultant,7,10.66666667,Actuals
3389,FINANCE,Team2,High Cost,Consultant,7,0.19047619,Actuals
3390,FINANCE,Team2,Cost Effective,Consultant,7,16.76190476,Actuals
3391,FINANCE,Team2,High Cost,Consultant,7,8.7,Actuals
3392,FINANCE,Team2,Cost Effective,Consultant,7,4,Actuals
3393,FINANCE,Team2,High Cost,Consultant,7,7.961904762,Actuals
3403,Human Resources,Team1,Cost Effective,Consultant,7,2.476190476,Actuals
3404,Human Resources,Team1,High Cost,Consultant,7,5.30952381,Actuals
3405,Human Resources,Team1,High Cost,Consultant,7,0.19047619,Actuals
3406,Human Resources,Team1,Cost Effective,Consultant,7,10.47619048,Actuals
3407,Human Resources,Team1,High Cost,Consultant,7,11.41028571,Actuals
3408,Human Resources,Team2,Cost Effective,Consultant,7,0.19047619,Actuals
3409,Human Resources,Team2,Cost Effective,Consultant,7,59.01904762,Actuals
3410,Human Resources,Team2,High Cost,Consultant,7,77.06838095,Actuals
3411,Human Resources,Team2,Cost Effective,Consultant,7,0.571428571,Actuals
3412,Human Resources,Team2,High Cost,Consultant,7,0.380952381,Actuals
3415,Legal,Team2,Cost Effective,Consultant,7,0.380952381,Actuals
3416,Legal,Team2,High Cost,Consultant,7,0.19047619,Actuals
3417,Legal,Team2,Cost Effective,Consultant,7,0.952380952,Actuals
3418,Legal,Team2,High Cost,Consultant,7,1.333333333,Actuals
3419,Legal,Team2,High Cost,Consultant,7,0.571428571,Actuals
3420,Legal,Team2,Cost Effective,Consultant,7,0.380952381,Actuals
3421,Legal,Team2,High Cost,Consultant,7,0.380952381,Actuals
3422,Legal,Team2,Cost Effective,Consultant,7,35.8,Actuals
3423,Legal,Team2,High Cost,Consultant,7,0.19047619,Actuals
3424,Legal,Team2,High Cost,Consultant,7,0.380952381,Actuals
3425,Legal,Team2,High Cost,Consultant,7,0.19047619,Actuals
3426,Legal,Team2,High Cost,Consultant,7,0.380952381,Actuals
3427,Legal,Team2,Cost Effective,Consultant,7,5.523809524,Actuals
3428,Legal,Team2,High Cost,Consultant,7,39.18571429,Actuals
3570,CIO,,High Cost,Analyst,8,8.571428571,Actuals
3571,FINANCE,Team1,Cost Effective,Analyst,8,110.547619,Actuals
3572,FINANCE,Team1,High Cost,Analyst,8,14.24761905,Actuals
3573,FINANCE,Team1,Cost Effective,Analyst,8,26.38095238,Actuals
3574,FINANCE,Team1,High Cost,Analyst,8,1.523809524,Actuals
3575,FINANCE,Team1,Cost Effective,Analyst,8,1.523809524,Actuals
3576,FINANCE,Team1,High Cost,Analyst,8,1.142857143,Actuals
3577,FINANCE,Team2,Cost Effective,Analyst,8,4.761904762,Actuals
3578,FINANCE,Team2,Cost Effective,Analyst,8,37.52380952,Actuals
3579,FINANCE,Team2,High Cost,Analyst,8,5.40952381,Actuals
3580,FINANCE,Team2,Cost Effective,Analyst,8,3.428571429,Actuals
3581,FINANCE,Team2,High Cost,Analyst,8,3.238095238,Actuals
3590,Human Resources,Team1,Cost Effective,Analyst,8,0.380952381,Actuals
3591,Human Resources,Team1,High Cost,Analyst,8,0.19047619,Actuals
3592,Human Resources,Team1,Cost Effective,Analyst,8,2.857142857,Actuals
3593,Human Resources,Team1,High Cost,Analyst,8,1.714285714,Actuals
3594,Human Resources,Team2,Cost Effective,Analyst,8,114.3428571,Actuals
3595,Human Resources,Team2,High Cost,Analyst,8,67.78019048,Actuals
3598,Legal,Team2,Cost Effective,Analyst,8,0.380952381,Actuals
3599,Legal,Team2,High Cost,Analyst,8,0.19047619,Actuals
3600,Legal,Team2,Cost Effective,Analyst,8,0.19047619,Actuals
3601,Legal,Team2,High Cost,Analyst,8,0.19047619,Actuals
3602,Legal,Team2,Cost Effective,Analyst,8,1.714285714,Actuals
3603,Legal,Team2,High Cost,Analyst,8,0.19047619,Actuals
3604,Legal,Team2,Cost Effective,Analyst,8,59.33580952,Actuals
3605,Legal,Team2,High Cost,Analyst,8,0.952380952,Actuals
3606,Legal,Team2,Cost Effective,Analyst,8,2.285714286,Actuals
3607,Legal,Team2,High Cost,Analyst,8,12.72380952,Actuals
3668,CIO,,High Cost,Associate,8,2.285714286,Actuals
3669,FINANCE,Team1,Cost Effective,Associate,8,17.71428571,Actuals
3670,FINANCE,Team1,High Cost,Associate,8,0.559619048,Actuals
3671,FINANCE,Team1,Cost Effective,Associate,8,2.857142857,Actuals
3672,FINANCE,Team1,Cost Effective,Associate,8,0.19047619,Actuals
3673,FINANCE,Team2,Cost Effective,Associate,8,33.47619048,Actuals
3674,FINANCE,Team2,High Cost,Associate,8,1.447619048,Actuals
3675,FINANCE,Team2,Cost Effective,Associate,8,0.571428571,Actuals
3676,FINANCE,Team2,High Cost,Associate,8,0.19047619,Actuals
3680,Human Resources,Team2,Cost Effective,Associate,8,32.35714286,Actuals
3681,Human Resources,Team2,High Cost,Associate,8,9.528571429,Actuals
3683,Legal,Team2,Cost Effective,Associate,8,1.523809524,Actuals
3684,Legal,Team2,Cost Effective,Associate,8,11.61904762,Actuals
3685,Legal,Team2,Cost Effective,Associate,8,0.19047619,Actuals
3686,Legal,Team2,High Cost,Associate,8,0.571428571,Actuals
3713,CIO,,High Cost,Senior Manager,8,3.39047619,Actuals
3715,FINANCE,Team1,Cost Effective,Senior Manager,8,0.571428571,Actuals
3716,FINANCE,Team1,High Cost,Senior Manager,8,1.142857143,Actuals
3717,FINANCE,Team1,Cost Effective,Senior Manager,8,1.142857143,Actuals
3718,FINANCE,Team1,High Cost,Senior Manager,8,2.095238095,Actuals
3719,FINANCE,Team1,High Cost,Senior Manager,8,0.571428571,Actuals
3720,FINANCE,Team2,Cost Effective,Senior Manager,8,0.571428571,Actuals
3721,FINANCE,Team2,High Cost,Senior Manager,8,2.285714286,Actuals
3722,FINANCE,Team2,Cost Effective,Senior Manager,8,0.571428571,Actuals
3723,FINANCE,Team2,High Cost,Senior Manager,8,1.257142857,Actuals
3724,FINANCE,Team2,High Cost,Senior Manager,8,3.238095238,Actuals
3735,Human Resources,Team1,Cost Effective,Senior Manager,8,0.380952381,Actuals
3736,Human Resources,Team1,High Cost,Senior Manager,8,6.067428571,Actuals
3737,Human Resources,Team1,Cost Effective,Senior Manager,8,0.380952381,Actuals
3738,Human Resources,Team1,High Cost,Senior Manager,8,5.085714286,Actuals
3739,Human Resources,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3740,Human Resources,Team2,Cost Effective,Senior Manager,8,3.785714286,Actuals
3741,Human Resources,Team2,High Cost,Senior Manager,8,4.952380952,Actuals
3742,Human Resources,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3744,Legal,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3745,Legal,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3746,Legal,Team2,High Cost,Senior Manager,8,1.333333333,Actuals
3747,Legal,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3748,Legal,Team2,High Cost,Senior Manager,8,0.380952381,Actuals
3749,Legal,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3750,Legal,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3751,Legal,Team2,High Cost,Senior Manager,8,0.761904762,Actuals
3752,Legal,Team2,High Cost,Senior Manager,8,0.761904762,Actuals
3753,Legal,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3754,Legal,Team2,Cost Effective,Senior Manager,8,0.380952381,Actuals
3755,Legal,Team2,High Cost,Senior Manager,8,4.571428571,Actuals
3774,CIO,,Cost Effective,Senior Manager,8,0.380952381,Actuals
3775,CIO,,High Cost,Senior Manager,8,22.42857143,Actuals
3779,FINANCE,Team1,Cost Effective,Senior Manager,8,4.761904762,Actuals
3780,FINANCE,Team1,High Cost,Senior Manager,8,11.73333333,Actuals
3781,FINANCE,Team1,Cost Effective,Senior Manager,8,4.952380952,Actuals
3782,FINANCE,Team1,High Cost,Senior Manager,8,10.20952381,Actuals
3783,FINANCE,Team1,Cost Effective,Senior Manager,8,0.952380952,Actuals
3784,FINANCE,Team1,High Cost,Senior Manager,8,3.428571429,Actuals
3785,FINANCE,Team2,Cost Effective,Senior Manager,8,2.285714286,Actuals
3786,FINANCE,Team2,High Cost,Senior Manager,8,12.36190476,Actuals
3787,FINANCE,Team2,Cost Effective,Senior Manager,8,3.238095238,Actuals
3788,FINANCE,Team2,High Cost,Senior Manager,8,6.457142857,Actuals
3789,FINANCE,Team2,Cost Effective,Senior Manager,8,1.523809524,Actuals
3790,FINANCE,Team2,High Cost,Senior Manager,8,11.46666667,Actuals
3800,Human Resources,Team1,Cost Effective,Senior Manager,8,1.333333333,Actuals
3801,Human Resources,Team1,High Cost,Senior Manager,8,13.24761905,Actuals
3802,Human Resources,Team1,Cost Effective,Senior Manager,8,2.666666667,Actuals
3803,Human Resources,Team1,High Cost,Senior Manager,8,21.6952381,Actuals
3804,Human Resources,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3805,Human Resources,Team2,High Cost,Senior Manager,8,0.361904762,Actuals
3806,Human Resources,Team2,Cost Effective,Senior Manager,8,15.73809524,Actuals
3807,Human Resources,Team2,High Cost,Senior Manager,8,24.71428571,Actuals
3808,Human Resources,Team2,High Cost,Senior Manager,8,0.571428571,Actuals
3811,Legal,Team2,Cost Effective,Senior Manager,8,3.428571429,Actuals
3812,Legal,Team2,High Cost,Senior Manager,8,11.82857143,Actuals
3813,Legal,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3814,Legal,Team2,High Cost,Senior Manager,8,2.666666667,Actuals
3815,Legal,Team2,High Cost,Senior Manager,8,0.723809524,Actuals
3816,Legal,Team2,Cost Effective,Senior Manager,8,2.285714286,Actuals
3817,Legal,Team2,High Cost,Senior Manager,8,0.19047619,Actuals
3818,Legal,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3819,Legal,Team2,High Cost,Senior Manager,8,1.333333333,Actuals
3820,Legal,Team2,Cost Effective,Senior Manager,8,0.19047619,Actuals
3821,Legal,Team2,High Cost,Senior Manager,8,1.142857143,Actuals
3822,Legal,Team2,Cost Effective,Senior Manager,8,0.571428571,Actuals
3823,Legal,Team2,High Cost,Senior Manager,8,2.666666667,Actuals
3824,Legal,Team2,Cost Effective,Senior Manager,8,2.476190476,Actuals
3825,Legal,Team2,High Cost,Senior Manager,8,42.11428571,Actuals
3926,CIO,,High Cost,Consultant,8,19.52819048,Actuals
3928,FINANCE,Team1,Cost Effective,Consultant,8,44.62857143,Actuals
3929,FINANCE,Team1,High Cost,Consultant,8,16.35314286,Actuals
3930,FINANCE,Team1,Cost Effective,Consultant,8,25.9047619,Actuals
3931,FINANCE,Team1,High Cost,Consultant,8,9.666666667,Actuals
3932,FINANCE,Team1,Cost Effective,Consultant,8,2.285714286,Actuals
3933,FINANCE,Team1,High Cost,Consultant,8,2.476190476,Actuals
3934,FINANCE,Team2,Cost Effective,Consultant,8,10.28571429,Actuals
3935,FINANCE,Team2,High Cost,Consultant,8,0.19047619,Actuals
3936,FINANCE,Team2,Cost Effective,Consultant,8,16.76190476,Actuals
3937,FINANCE,Team2,High Cost,Consultant,8,8.571428571,Actuals
3938,FINANCE,Team2,Cost Effective,Consultant,8,4,Actuals
3939,FINANCE,Team2,High Cost,Consultant,8,7.961904762,Actuals
3949,Human Resources,Team1,Cost Effective,Consultant,8,2.285714286,Actuals
3950,Human Resources,Team1,High Cost,Consultant,8,5.5,Actuals
3951,Human Resources,Team1,High Cost,Consultant,8,0.19047619,Actuals
3952,Human Resources,Team1,Cost Effective,Consultant,8,10.85714286,Actuals
3953,Human Resources,Team1,High Cost,Consultant,8,11.6007619,Actuals
3954,Human Resources,Team2,Cost Effective,Consultant,8,0.19047619,Actuals
3955,Human Resources,Team2,Cost Effective,Consultant,8,57.68571429,Actuals
3956,Human Resources,Team2,High Cost,Consultant,8,76.67542857,Actuals
3957,Human Resources,Team2,Cost Effective,Consultant,8,0.571428571,Actuals
3958,Human Resources,Team2,High Cost,Consultant,8,0.380952381,Actuals
3961,Legal,Team2,Cost Effective,Consultant,8,0.380952381,Actuals
3962,Legal,Team2,High Cost,Consultant,8,0.19047619,Actuals
3963,Legal,Team2,Cost Effective,Consultant,8,0.952380952,Actuals
3964,Legal,Team2,High Cost,Consultant,8,1.714285714,Actuals
3965,Legal,Team2,High Cost,Consultant,8,0.571428571,Actuals
3966,Legal,Team2,Cost Effective,Consultant,8,0.380952381,Actuals
3967,Legal,Team2,High Cost,Consultant,8,0.380952381,Actuals
3968,Legal,Team2,Cost Effective,Consultant,8,35.4952381,Actuals
3969,Legal,Team2,High Cost,Consultant,8,0.19047619,Actuals
3970,Legal,Team2,High Cost,Consultant,8,0.380952381,Actuals
3971,Legal,Team2,High Cost,Consultant,8,0.19047619,Actuals
3972,Legal,Team2,High Cost,Consultant,8,0.380952381,Actuals
3973,Legal,Team2,Cost Effective,Consultant,8,5.523809524,Actuals
3974,Legal,Team2,High Cost,Consultant,8,40.51904762,Actuals
4114,CIO,,High Cost,Analyst,9,8.761904762,Actuals
4115,FINANCE,Team1,Cost Effective,Analyst,9,107.1190476,Actuals
4116,FINANCE,Team1,High Cost,Analyst,9,14.43809524,Actuals
4117,FINANCE,Team1,Cost Effective,Analyst,9,26.95238095,Actuals
4118,FINANCE,Team1,High Cost,Analyst,9,1.523809524,Actuals
4119,FINANCE,Team1,Cost Effective,Analyst,9,2.285714286,Actuals
4120,FINANCE,Team1,High Cost,Analyst,9,1.142857143,Actuals
4121,FINANCE,Team2,Cost Effective,Analyst,9,5.142857143,Actuals
4122,FINANCE,Team2,Cost Effective,Analyst,9,37.33333333,Actuals
4123,FINANCE,Team2,High Cost,Analyst,9,5.40952381,Actuals
4124,FINANCE,Team2,Cost Effective,Analyst,9,3.428571429,Actuals
4125,FINANCE,Team2,High Cost,Analyst,9,3.238095238,Actuals
4133,Human Resources,Team1,Cost Effective,Analyst,9,0.380952381,Actuals
4134,Human Resources,Team1,High Cost,Analyst,9,0.19047619,Actuals
4135,Human Resources,Team1,Cost Effective,Analyst,9,3.047619048,Actuals
4136,Human Resources,Team1,High Cost,Analyst,9,1.714285714,Actuals
4137,Human Resources,Team2,Cost Effective,Analyst,9,112.1142857,Actuals
4138,Human Resources,Team2,High Cost,Analyst,9,68.28019048,Actuals
4141,Legal,Team2,Cost Effective,Analyst,9,0.380952381,Actuals
4142,Legal,Team2,High Cost,Analyst,9,0.19047619,Actuals
4143,Legal,Team2,Cost Effective,Analyst,9,0.19047619,Actuals
4144,Legal,Team2,High Cost,Analyst,9,0.380952381,Actuals
4145,Legal,Team2,Cost Effective,Analyst,9,1.714285714,Actuals
4146,Legal,Team2,High Cost,Analyst,9,0.19047619,Actuals
4147,Legal,Team2,Cost Effective,Analyst,9,61.24057143,Actuals
4148,Legal,Team2,High Cost,Analyst,9,0.952380952,Actuals
4149,Legal,Team2,Cost Effective,Analyst,9,2.285714286,Actuals
4150,Legal,Team2,High Cost,Analyst,9,12.68571429,Actuals
4211,CIO,,High Cost,Associate,9,2.285714286,Actuals
4212,FINANCE,Team1,Cost Effective,Associate,9,19.23809524,Actuals
4213,FINANCE,Team1,High Cost,Associate,9,0.750095238,Actuals
4214,FINANCE,Team1,Cost Effective,Associate,9,2.857142857,Actuals
4215,FINANCE,Team1,Cost Effective,Associate,9,0.19047619,Actuals
4216,FINANCE,Team2,Cost Effective,Associate,9,33.28571429,Actuals
4217,FINANCE,Team2,High Cost,Associate,9,1.447619048,Actuals
4218,FINANCE,Team2,Cost Effective,Associate,9,0.571428571,Actuals
4219,FINANCE,Team2,High Cost,Associate,9,0.19047619,Actuals
4223,Human Resources,Team2,Cost Effective,Associate,9,32.54761905,Actuals
4224,Human Resources,Team2,High Cost,Associate,9,9.90952381,Actuals
4226,Legal,Team2,Cost Effective,Associate,9,1.523809524,Actuals
4227,Legal,Team2,Cost Effective,Associate,9,11.80952381,Actuals
4228,Legal,Team2,Cost Effective,Associate,9,0.19047619,Actuals
4229,Legal,Team2,High Cost,Associate,9,0.571428571,Actuals
4256,CIO,,High Cost,Senior Manager,9,3.39047619,Actuals
4258,FINANCE,Team1,Cost Effective,Senior Manager,9,0.571428571,Actuals
4259,FINANCE,Team1,High Cost,Senior Manager,9,1.142857143,Actuals
4260,FINANCE,Team1,Cost Effective,Senior Manager,9,1.142857143,Actuals
4261,FINANCE,Team1,High Cost,Senior Manager,9,2.095238095,Actuals
4262,FINANCE,Team1,High Cost,Senior Manager,9,0.571428571,Actuals
4263,FINANCE,Team2,Cost Effective,Senior Manager,9,0.571428571,Actuals
4264,FINANCE,Team2,High Cost,Senior Manager,9,2.285714286,Actuals
4265,FINANCE,Team2,Cost Effective,Senior Manager,9,0.571428571,Actuals
4266,FINANCE,Team2,High Cost,Senior Manager,9,1.257142857,Actuals
4267,FINANCE,Team2,High Cost,Senior Manager,9,3.238095238,Actuals
4278,Human Resources,Team1,Cost Effective,Senior Manager,9,0.380952381,Actuals
4279,Human Resources,Team1,High Cost,Senior Manager,9,6.067428571,Actuals
4280,Human Resources,Team1,Cost Effective,Senior Manager,9,0.380952381,Actuals
4281,Human Resources,Team1,High Cost,Senior Manager,9,5.085714286,Actuals
4282,Human Resources,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4283,Human Resources,Team2,Cost Effective,Senior Manager,9,3.595238095,Actuals
4284,Human Resources,Team2,High Cost,Senior Manager,9,4.952380952,Actuals
4285,Human Resources,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4287,Legal,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4288,Legal,Team2,Cost Effective,Senior Manager,9,0.19047619,Actuals
4289,Legal,Team2,High Cost,Senior Manager,9,1.333333333,Actuals
4290,Legal,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4291,Legal,Team2,High Cost,Senior Manager,9,0.380952381,Actuals
4292,Legal,Team2,Cost Effective,Senior Manager,9,0.19047619,Actuals
4293,Legal,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4294,Legal,Team2,High Cost,Senior Manager,9,0.761904762,Actuals
4295,Legal,Team2,High Cost,Senior Manager,9,0.761904762,Actuals
4296,Legal,Team2,High Cost,Senior Manager,9,0.342857143,Actuals
4297,Legal,Team2,Cost Effective,Senior Manager,9,0.380952381,Actuals
4298,Legal,Team2,High Cost,Senior Manager,9,4.571428571,Actuals
4317,CIO,,Cost Effective,Senior Manager,9,0.380952381,Actuals
4318,CIO,,High Cost,Senior Manager,9,22.61904762,Actuals
4322,FINANCE,Team1,Cost Effective,Senior Manager,9,4.761904762,Actuals
4323,FINANCE,Team1,High Cost,Senior Manager,9,11.54285714,Actuals
4324,FINANCE,Team1,Cost Effective,Senior Manager,9,4.952380952,Actuals
4325,FINANCE,Team1,High Cost,Senior Manager,9,10.20952381,Actuals
4326,FINANCE,Team1,Cost Effective,Senior Manager,9,0.952380952,Actuals
4327,FINANCE,Team1,High Cost,Senior Manager,9,3.428571429,Actuals
4328,FINANCE,Team2,Cost Effective,Senior Manager,9,2.285714286,Actuals
4329,FINANCE,Team2,High Cost,Senior Manager,9,12.36190476,Actuals
4330,FINANCE,Team2,Cost Effective,Senior Manager,9,3.238095238,Actuals
4331,FINANCE,Team2,High Cost,Senior Manager,9,6.457142857,Actuals
4332,FINANCE,Team2,Cost Effective,Senior Manager,9,1.523809524,Actuals
4333,FINANCE,Team2,High Cost,Senior Manager,9,11.46666667,Actuals
4343,Human Resources,Team1,Cost Effective,Senior Manager,9,1.142857143,Actuals
4344,Human Resources,Team1,High Cost,Senior Manager,9,13.24761905,Actuals
4345,Human Resources,Team1,Cost Effective,Senior Manager,9,2.857142857,Actuals
4346,Human Resources,Team1,High Cost,Senior Manager,9,21.42857143,Actuals
4347,Human Resources,Team2,Cost Effective,Senior Manager,9,0.19047619,Actuals
4348,Human Resources,Team2,High Cost,Senior Manager,9,0.361904762,Actuals
4349,Human Resources,Team2,Cost Effective,Senior Manager,9,15.83333333,Actuals
4350,Human Resources,Team2,High Cost,Senior Manager,9,24.92380952,Actuals
4351,Human Resources,Team2,High Cost,Senior Manager,9,0.571428571,Actuals
4354,Legal,Team2,High Cost,Senior Manager,9,0.19047619,Actuals
4355,Legal,Team2,Cost Effective,Senior Manager,9,3.428571429,Actuals
4356,Legal,Team2,High Cost,Senior Manager,9,12.01904762,Actuals
4357,Legal,Team2,Cost Effective,Senior Manager,9,0.19047619,Actuals
4358,Legal,Team2,High Cost,Senior Manager,9,2.666666667,Actuals
4359,Legal,Team2,High Cost,Senior Manager,9,0.723809524,Actuals
4360,Legal,Team2,Cost Effective,Senior Manager,9,2.285714286,Actuals
4361,Legal,Team2,High Cost,Senior Manager,9,1.333333333,Actuals
4362,Legal,Team2,Cost Effective,Senior Manager,9,0.19047619,Actuals
4363,Legal,Team2,High Cost,Senior Manager,9,1.142857143,Actuals
4364,Legal,Team2,Cost Effective,Senior Manager,9,0.571428571,Actuals
4365,Legal,Team2,High Cost,Senior Manager,9,2.666666667,Actuals
